Scientific Name,Common Name,38 cell flat           (unit price/plug)  ,"32 tray                (unit price/2""pot) ",12 ct. quart tray              (unit price/qt.) 
Solidago flexicaulis,Zigzag Goldenrod,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Solidago juncea,Early Goldenrod,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Solidago nemoralis,Old-Field Goldenrod,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Solidago ohioensis,Ohio Goldenrod,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Solidago patula,Swamp Goldenrod,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Solidago riddellii,Riddell's Goldenrod,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Solidago rigida,Stiff Goldenrod,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Solidago speciosa,Showy Goldenrod,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Stylophorum diphyllum ,Wood Poppy,,$73.60 ($2.30),
Symphyotrichum cordifolium,Heart-Leaved Aster,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Symphyotrichum laeve,Smooth Aster,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Symphyotrichum novae-angliae,New England Aster,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Symphyotrichum oolentangiense,Prairie Heart-Leaved Aster,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Symphyotrichum puniceum,Swamp Aster,$45.22 (1.19),,
Tephrosia virginiana,Goat's-Rue,,$94.40 ($2.95) ~,
Thalictrum dasycarpum,Tall Meadow Rue,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Thalictrum dioicum,Early Meadow Rue,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Tiarella cordifolia,Foamflower,$60.80 ($1.60),$94.40 ($2.95) ~,$71.40 ($5.95)
Tradescantia ohiensis,Spiderwort,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Triosteum aurantiacum,Horse-Gentian,,$73.60 ($2.30),$71.40 ($5.95)
Verbena hastata,Blue Vervain,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Verbena stricta,Hoary Vervain,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Vernonia missurica,Ironweed,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Veronicastrum virginicum,Culver's-Root,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Zizia aurea,Golden Alexanders,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
